algorithm,percentile of pool members,selection probability
LexiMin,63.61111111111111,0.06721699485493095
LexiMin,63.888888888888886,0.06721699485493095
LexiMin,64.16666666666667,0.06721699485493102
LexiMin,64.44444444444444,0.06721699485493102
LexiMin,64.72222222222223,0.0672169948549311
LexiMin,65.0,0.06721699485493113
LexiMin,65.27777777777779,0.06721699485493116
LexiMin,65.55555555555556,0.06721699485493116
LexiMin,65.83333333333333,0.06721699485493117
LexiMin,66.11111111111111,0.06721699485493118
LexiMin,66.38888888888889,0.06721699485493121
LexiMin,66.66666666666666,0.06721699485493127
LexiMin,66.94444444444444,0.06721699485493128
LexiMin,67.22222222222223,0.0672169948549313
LexiMin,67.5,0.06721699485493132
LexiMin,67.77777777777779,0.06721699485493136
LexiMin,68.05555555555556,0.0672169948549314
LexiMin,68.33333333333333,0.06721699485493147
LexiMin,68.61111111111111,0.06721699485493149
LexiMin,68.88888888888889,0.06721699485493157
LexiMin,69.16666666666667,0.06721699485493157
LexiMin,69.44444444444444,0.0672169948549316
LexiMin,69.72222222222221,0.06721699485493161
LexiMin,70.0,0.06721699485493163
LexiMin,70.27777777777777,0.06721699485493174
LexiMin,70.55555555555556,0.0672169948549318
LexiMin,70.83333333333334,0.06721699485493186
LexiMin,71.11111111111111,0.06721699485493192
LexiMin,71.38888888888889,0.06721699485493206
LexiMin,71.66666666666667,0.06721778385782265
LexiMin,71.94444444444444,0.06735630409698944
LexiMin,72.22222222222221,0.06735630409698995
LexiMin,72.5,0.06735630409698996
LexiMin,72.77777777777777,0.06735630409699003
LexiMin,73.05555555555556,0.06735630409699006
LexiMin,73.33333333333333,0.06735630409699009
LexiMin,73.61111111111111,0.06735630409699012
LexiMin,73.88888888888889,0.0673563040969902
LexiMin,74.16666666666667,0.0673563040969902
LexiMin,74.44444444444444,0.06735630409699023
LexiMin,74.72222222222223,0.06735630409699025
LexiMin,75.0,0.06735630409699028
LexiMin,75.27777777777777,0.06735630409699032
LexiMin,75.55555555555556,0.06735630409699032
LexiMin,75.83333333333333,0.06735630409699032
LexiMin,76.11111111111111,0.06735630409699034
LexiMin,76.38888888888889,0.06735630409699034
LexiMin,76.66666666666667,0.06735630409699034
LexiMin,76.94444444444444,0.06735630409699034
LexiMin,77.22222222222223,0.06735630409699034
LexiMin,77.5,0.06735630409699035
LexiMin,77.77777777777779,0.06735630409699037
LexiMin,78.05555555555556,0.06735630409699038
LexiMin,78.33333333333333,0.06735630409699042
LexiMin,78.61111111111111,0.06735630409699049
LexiMin,78.88888888888889,0.06735630409699053
LexiMin,79.16666666666666,0.06735630409699059
LexiMin,79.44444444444444,0.06735630409699066
LexiMin,79.72222222222223,0.06735630409699066
LexiMin,80.0,0.06735630409699066
LexiMin,80.27777777777779,0.06735630409699067
LexiMin,80.55555555555556,0.06735630409699106
LexiMin,80.83333333333333,0.06735630409699118
LexiMin,81.11111111111111,0.06735985119138391
LexiMin,81.38888888888889,0.06748215537678626
LexiMin,81.66666666666667,0.06875038312462062
LexiMin,81.94444444444444,0.06875038312462084
LexiMin,82.22222222222221,0.06875038312462087
LexiMin,82.5,0.06875038312462088
LexiMin,82.77777777777777,0.06875038312462088
LexiMin,83.05555555555556,0.06875038312462166
LexiMin,83.33333333333334,0.06875107048396349
LexiMin,83.61111111111111,0.08430320917502962
LexiMin,83.88888888888889,0.08430328585407418
LexiMin,84.16666666666667,0.08430328585407451
LexiMin,84.44444444444444,0.08430328585407453
LexiMin,84.72222222222221,0.08430328585407455
LexiMin,85.0,0.08430328585407457
LexiMin,85.27777777777777,0.0843032858540746
LexiMin,85.55555555555556,0.08430328585407462
LexiMin,85.83333333333333,0.08430328585407462
LexiMin,86.11111111111111,0.08430328585407464
LexiMin,86.38888888888889,0.08430328585407475
LexiMin,86.66666666666667,0.08430328585407479
LexiMin,86.94444444444444,0.08430328585407484
LexiMin,87.22222222222223,0.08430328585407502
LexiMin,87.5,0.08430328585407516
LexiMin,87.77777777777777,0.08430328585407534
LexiMin,88.05555555555556,0.08430328585407555
LexiMin,88.33333333333333,0.08430358038239563
LexiMin,88.61111111111111,0.0843048928788797
LexiMin,88.88888888888889,0.10792768577867332
LexiMin,89.16666666666667,0.1079276857786736
LexiMin,89.44444444444444,0.10792768577867366
LexiMin,89.72222222222223,0.10792768577867372
LexiMin,90.0,0.10792768577867377
LexiMin,90.27777777777779,0.10792768577867377
LexiMin,90.55555555555556,0.1079276857786738
LexiMin,90.83333333333333,0.10792768577867382
LexiMin,91.11111111111111,0.10792768577867388
LexiMin,91.38888888888889,0.10792768577867395
LexiMin,91.66666666666666,0.10792768577867395
LexiMin,91.94444444444444,0.10792768577867409
LexiMin,92.22222222222223,0.10792768577867419
LexiMin,92.5,0.10792768577867423
LexiMin,92.77777777777779,0.10792768577867463
LexiMin,93.05555555555556,0.1079276857786748
LexiMin,93.33333333333333,0.10792841128645736
