ratio product,selection probability
1.3406201982962618,0.0646
1.1265708489173558,0.04
1.066801768023158,0.0625
0.8143146460411601,0.1367
0.3270342117074676,0.1848
1.5062712791709156,0.0643
0.9675411772341967,0.0503
0.8317681469829787,0.1166
1.6154994343449138,0.0403
0.7759240642401944,0.1222
0.7260584493657862,0.1018
0.7194526259961083,0.0925
0.9545932040741627,0.0829
1.0741259272396748,0.0447
1.09574068067449,0.0782
1.0972846305208406,0.0581
1.7031300890591383,0.0418
1.273950024028837,0.0733
1.6401135887678384,0.0396
1.0777102476001525,0.0962
0.8317681469829787,0.1167
1.7235940010413464,0.0775
1.1483807267543404,0.0568
0.49947322416469064,0.1588
1.185481272360168,0.0749
0.7292152252325939,0.0846
1.4856346902928945,0.0584
0.8511868636264466,0.0859
1.471019097058677,0.0376
2.016284754484821,0.0411
1.1973838737064468,0.0583
0.7403944134032292,0.087
1.4175469421446263,0.0645
0.6119010086101125,0.1411
1.5009320563884279,0.0702
1.3431043929666182,0.0563
1.202091147912761,0.0662
1.278852492858861,0.106
1.4734635028007521,0.042
0.7152893703124238,0.1372
0.8772373340256716,0.0797
1.059222434125816,0.0854
0.8952467804108386,0.1026
0.6010501250401987,0.1378
0.990427258080946,0.0986
1.8330093648454397,0.0583
1.0119070438796547,0.0772
0.3645627278050459,0.1656
1.3231001554936968,0.0562
0.962564097307024,0.0813
0.6076607564182513,0.1393
0.5782771005283646,0.1832
0.7359508058254083,0.0626
0.6776545527414005,0.2012
1.3228977753371025,0.0861
1.0039956336333882,0.1083
0.6246613273387631,0.1143
0.3645627278050459,0.1669
1.1620259089147627,0.0892
0.7260584493657862,0.0967
1.0111134532115469,0.0983
0.9040198958189563,0.117
0.6988131202037143,0.1139
0.8772373340256716,0.0863
1.6466631683492654,0.0192
1.2385625233613695,0.0991
1.6384978964400954,0.0574
1.0658007125672029,0.0776
0.8354312767419694,0.1307
0.6296468005395159,0.1536
0.7894320506391558,0.0902
0.7359508058254083,0.0682
0.7352234048016829,0.1426
0.8927179928614185,0.0821
1.0718220116373844,0.1284
2.592366112909055,0.0112
1.594554877968732,0.0611
0.8314789494873961,0.1162
1.3606294549872506,0.0496
0.7553644709716448,0.1124
1.4558979320584073,0.0758
0.6000530115221979,0.1581
0.9418366141192152,0.1118
0.6617382944601569,0.1378
0.576916700067931,0.1211
1.6497256867110028,0.0448
2.592366112909055,0.0115
0.9388090407644633,0.0577
1.4960198184887825,0.0474
1.0728410485111057,0.0675
1.1014884101039848,0.0438
0.8511868636264466,0.0931
0.6321648263061568,0.1616
1.3328125136545934,0.0728
0.7940859533521881,0.1193
1.1596605553270336,0.0682
1.0393869453941194,0.0519
0.7996270791673135,0.0972
0.6950711301312829,0.1271
1.3231001554936968,0.0558
0.769229188563206,0.1131
0.6210338594848903,0.1177
1.4597470387645548,0.0684
0.9166916654913541,0.0906
1.5489961671696253,0.0368
1.7485553318123275,0.0542
0.9675411772341967,0.0548
